,id,log_price,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,name,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,Accessible,Air conditioning,BBQ grill,Baby friendly,Changing table,Bath towel,Bathtub,Beachfront,Breakfast,Coffee maker,Dishwasher,Doorman,Elevator,Extra pillows and blankets,Family/kid friendly,Firm mattress,First aid kit,Free parking,Game console,Garden or backyard,Gym,Heating,Hot tub,Indoor fireplace,Internet,Iron,Keypad,Kitchen,Laptop friendly workspace,Lock on bedroom door,Long term stays allowed,Pool,Private bathroom,Private entrance,Private living room,Refrigerator,Smoking allowed,Stove,Suitable for events,TV
0,6901257,5.0106352940962555,Apartment,Entire home/apt,3,1.0,Real Bed,strict,True,NYC,"Beautiful, sunlit brownstone 1-bedroom in the loveliest neighborhood in Brooklyn. Blocks from the promenade and Brooklyn Bridge Park, with their stunning views of Manhattan, and from the great shopping and food.",2016-06-18,t,t,,2012-03-26,f,2016-07-18,Beautiful brownstone 1-bedroom,2,100.0,11201,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6304928,5.1298987149230735,Apartment,Entire home/apt,7,1.0,Real Bed,strict,True,NYC,"Enjoy travelling during your stay in Manhattan. My place is centrally located near Times Square and Central Park with easy access to main subways as well as walking distance to many popular restaurants and bus tours. My place is close to the subway, Totto Ramen, Hell's Kitchen, Ippudo Westside, Empanada Mama, Intrepid Sea, Air & Space Museum. My place has three true bedrooms and one bathroom. The kitchen is stocked with stainless steel appliances like the Keurig machine. The living room is spacious and can accommodate another person thanks to the pull out bed. My place is centrally located to some of the top attractions in the city. Feel free to explore the entire apartment and do not worry about sharing the space with any strangers. This is all yours during your stay. I am available via text/email/phone for anything you might need. - Times Square - Rockefeller Plaza - Central Park  - 5th Avenue Shopping  -Broadway Theater District  - Empire State Building  - Hudson River Express Subwa",2017-08-05,t,f,100%,2017-06-19,t,2017-09-23,Superb 3BR Apt Located Near Times Square,6,93.0,10019,3.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,7919400,4.976733742420574,Apartment,Entire home/apt,5,1.0,Real Bed,moderate,True,NYC,"The Oasis comes complete with a full backyard with outdoor furniture to make the most of this summer vacation!!  The unit has high ceilings, a completed renovation throughout, beautiful flood lighting and exposed brick! Best part, total seclusion. You share with no one! The entire unit is yours during your stay.  It's a fully furnished apartment that can hold up to 5 people. The only items you need are a toothbrush and your luggage!!! The unit has high ceilings, a completed renovation throughout, beautiful flood lighting and exposed brick! Not to mention the large backyard complete with ourdoor furniture.  Best part, total seclusion. You share with no one! The entire unit is yours during your stay. The entire unit and backyard Garden area My assistant is available off site via phone.   Other than that, you will be alone for your stay. The neighborhood of central Harlem is very diverse and full of culture! We are a few blocks from Historic 125th Street, The Apollo Theatre, The Schomburg",2017-04-30,t,t,100%,2016-10-25,t,2017-09-14,The Garden Oasis,10,92.0,10027,1.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
3,13418779,6.620073206530356,House,Entire home/apt,4,1.0,Real Bed,flexible,True,SF,"This light-filled home-away-from-home is super clean and comes with all of the modern amenities travelers could want. Located on a quiet street in the very trendy, super central Lower Haight neighborhood. 15 minutes to Superbowl City! Avail 2/4-2/8. Tucked away on a quaint and quiet one-way street just one block away from the restaurants, shops and bars on Haight Street. There are trains and buses just a block away to get around the city. Super central and trendy!",,t,t,,2015-04-19,f,,Beautiful Flat in the Heart of SF!,0,,94117.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,3808709,4.74493212836325,Apartment,Entire home/apt,2,1.0,Real Bed,moderate,True,DC,"Cool, cozy, and comfortable studio located in the heart of the city. Literally a 10 min walk to Columbia Heights metro where you'll find shopping, theater, bars and diverse restaurants. Fits two very well, and is very convenient to other great areas. Welcome home!  It's in a diverse building,  where you meet alot of international people. It's located around different embassies, whom may provide a tour.  Theres tons of people from over the world! Tons of different restaurants,  and cultural things to do. Less than a mile walk to Dupont Circle, U Street, Adams Morgan, Columbia Heights metro.  Tons of buses, and underground metro at your fingertips I can provide groceries for an affordable fee",2015-05-12,t,t,100%,2015-03-01,t,2017-01-22,Great studio in midtown DC,4,40.0,20009,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,12422935,4.442651256490317,Apartment,Private room,2,1.0,Real Bed,strict,True,SF,"Beautiful private room overlooking scenic views in San Francisco's upscale Noe Valley neighborhood. You'll have your own bedroom, queen bed, dresser, wardrobe, smart TV, workstation, desk&chair, WiFi, and kitchen. Fresh towels and linens are provided for your convenience. MUNI bus stop and all tech shuttles are around the corner, J-Church subway is 5-minute walk away. Restaurants, bars, and cafes are around the corner. Ideal location for experiencing SF or commuting to Silicon Valley. We'll provide 100% cotton sheets and fresh towels. You'll have access to the full size bathroom as well as the kitchen. We'll also provide high speed business class WiFi internet, as well as HBO and Net""ix on your private TV. Guests will have access to kitchen and bathroom in addition to their private bedroom. We'll interact with you as much as you'd like to make your stay as comfortable as possible. We are available if you need us but will not disturb you otherwise. One of the sunniest neighborhoods in S",2017-08-27,t,t,100%,2017-06-07,t,2017-09-05,Comfort Suite San Francisco,3,100.0,94131,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,11825529,4.4188406077965965,Apartment,Entire home/apt,3,1.0,Real Bed,moderate,True,LA,"Warm and cozy studio with full kitchen and bathroom. Big balcony. Parking included. Walk to the beach, rent a bike, eat at variety of restaurants, see boats at Marina harbor! Great location! Friendly neighborhood! Meet locals at ""Cow's End"" famous coffee and wrap cafe.  Great experience all around. This is a non smoking apartment. Warm and cozy studio with full kitchen and bathroom. Big balcony. Parking included. Walk to the beach, rent a bike, eat at variety of restaurants, see boats at Marina harbor! Great location! Friendly neighborhood! Meet locals at ""Cow's End"" famous coffee and wrap cafe.  Great experience all around. Close to the beach, lots of entertainment, balcony,  full kitchen. Gated parking, swimming pool, beach activities, Venice Beach, Marina Harbor At the check in, to deliver the keys. Quite peaceful place, friendly locals, fresh ocean breeze, Venice canals, marina harbor. Yes, the is Bus and uber Gated parking, swimming pool, beach activities, Venice Beach, Marina Har",2017-03-10,t,f,100%,2017-03-03,t,2017-04-21,Beach Town Studio and Parking!!!11h,15,97.0,90292,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
7,13971273,4.787491742782046,Condominium,Entire home/apt,2,1.0,Real Bed,moderate,True,LA,"Arguably the best location (and safest) in downtown LA. Steps away from Staples Center, LA Live, LA Convention Center,  2 metro stations. Next door to FIDM.  Convenience: Starbucks & cleaner in the building. Ralph's across the street. FREE ASSIGNED GATED INDOOR PARKING. FREE WIFI. Fully stocked kitchen. PANORAMIC view of DTLA neighborhoods and LA Live, on your private balcony that spans the entire living room and bedroom.  Luxury hotel-style living with concierge, lobby, pool, jacuzzi, etc! Bright, airy and cozy 1 bedroom condo - all to yourself! 1 assigned parking space (indoor, gated), at no additional charge. Condo is located in South Park, the sub-neighborhood of Downtown LA with  premium luxury high rise buildings (Ritz-Carlton, EVO, and many more).  It is next to the Financial District and a stone's throw away from Korea Town and Little Tokyo.  Several blocks away from 4 major freeways: 110, 5, 10 and 101. Several blocks away from 4 major freeways: 110, 5, 10 and 101. 3 blocks aw",2016-12-16,t,t,100%,2013-05-18,f,2017-04-12,"Near LA Live, Staple's. Starbucks inside. OWN VIEW",9,93.0,90015,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
8,180792,4.787491742782046,House,Private room,2,1.0,Real Bed,moderate,True,SF,"Garden Studio with private entrance from the street and garden patio sitting area in a charming house in front of Lincoln Park(URL HIDDEN) Queen bed, en suite bathroom and Breakfast bar. Quiet neighborhood away from the crowds. Great location. Your private entrance leads to a beautiful garden-patio,an excellent place to enjoy a cup of coffee or a glass of wine.  When you enter to your private room  you will find a comfortable Queen size bed, en suite bathroom,closet, a table for two  and a Breakfast Bar area with mini-fridge, coffee maker,kettle, toaster oven and few goodies awaiting for you.  Please note, there is no kitchen.      Flat screen CableTV, Free Wifi and maps of the area as well.      This is a studio in a garden level of a private home. Our family living space is above it and there can be a modest amount of noise briefly in the morning and again in the evening.        People enjoy having their own separate entrance, an added bonus to an already great and welcoming space. W",2016-02-13,t,f,100%,2015-06-04,f,2017-09-24,Cozy Garden Studio - Private Entry,159,99.0,94121,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
9,5385260,3.58351893845611,House,Private room,2,1.0,Real Bed,moderate,True,LA,"Quiet community. Close to supermarkets,restaurants,60 freeway.Looking forward to provide you with high quality service  安全宁静的街区, 近华人及韩国超市,餐厅,近60号高速。欢迎旅行商住 宽敞、明亮、干净、整洁、出入方便 Available kitchen,laundry,living room 可使用厨房洗衣间及客厅 Anytime contact with message or email.phone call available 9am to 7pm. 任何时间的信息和邮箱都可以。电话请在太平洋时间早上9点至晚上7点之间 房客须知:  1、房客之间不允许私下擅自更换房间,必须经由管理员,以及双方房客许可,由管理员监督更换房间。  1, between the tenants are not allowed to privately change the room, must be by the administrator, and the two sides permit tenants, supervise the replacement of the room by the administrator. 2、请认准自己预定房间的号码拿取钥匙,不得进入非预定房间。 2, please look for their own room number to pick up the key, not to enter the not you booking room. 3、预定房间请看准描述选定房间,如描述不清请向管理员咨询,预定后既视为认可不给予任何更换。 3, booking room, please see the description of the selected room, such as the description is unclear, please ask to the administrator, when confired booked room,we don't given any replacement. 4、请自行确认是否预定想要的房源,如不清楚请及时询问管理员,如确认预定,管理员既视为满意本房源,不再对预定进行",2017-04-03,t,f,100%,2017-03-12,t,2017-04-16,No.7 Queen Size Cozy Room 舒适大床房,2,90.0,91748,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
